#{"t_start": 1668888091.39069, "env_id": null}
r,l,t
-10.0,7,70.630258
-5,20,70.824885
-5,20,71.021945
-10.0,2,71.037558
-10.0,18,71.209656
-10.0,1,71.218584
-10.0,2,71.235587
-10.0,20,71.423941
-10.0,8,71.503164
-10.0,10,71.59-10.0,-5,20,71.791012
-10.0,6,71.8439-10.18.0,3,71.880526-5,20,72.047333
-5,20,72.240989
-10.0,8,72.312833
-10.0,6,72.370614
--5,20,72.587432
-5,20,72.79064
-10.0,1,72.79693
-10.0,2,72.815631
-7.0,14,72.833059--5,20,73.046525--5,20,73.241322-10.0,17,73.425452
--5,20,73.589238
12.0,9,73.680152
-5,20,73.881993
-10.0,6,73.935304
-5,20,74.137067
-5,20,74.325069
-10.0,19,74.505507
-10.0,8,74.592632
-10.0,3,74.618704
-5,20,74.814891
-10.0,7,74.875856
-5,20,75.082551
-10.0,1,75.08939
-5,20,75.291072
-5,20,75.491171
-10.0,4,75.530582
-5,20,75.724368
-10.0,13,75.840362
-10.0,1,75.849571
-5,20,76.049032
-10.0,9,76.129768
-5,20,76.334633
-10.0,3,76.358884
-5,20,76.546414
-5,20,76.745436
-10.0,2,76.761631
-5,20,76.966213
-5,20,77.162092
-10.0,2,77.177841
-5,20,77.379593
5.0,16,77.546168
-10.0,7,77.612568
-5,20,77.811407
-10.0,4,77.844693
-10.0,9,77.93774
-10.0,19,78.118399
-10.0,16,78.269014
-10.0,16,78.426477
-10.0,2,78.444016
-10.0,14,78.572998
-10.0,5,78.625031
-5,20,78.821008
-10.0,16,78.97058
-10.0,7,79.041306
-10.0,15,79.183966
-10.0,2,79.206273
-5,20,79.408727
-10.0,1,79.41538
-5,20,79.613358
-10.0,4,79.654166
-10.0,3,79.684391
-10.0,3,79.713396
-10-10.0,13,79.7595-10.-5,20,79.954531
-10.0,1,79.961453-1-5,20,80.150316
-10.0,3,80.179546-1-10.0,18,80.345865
-5,20,80.395001
-5,20,80.582979
-10.0,8,80.650179
-5,20,80.842401
-5,20,81.035162
-5,20,81.236741
-10.0,5,81.279369
-5,20,81.485222
-10.0,1,81.492131
-10.0,2,81.509389
-10.0,1,-10.0,20,81.701669
-10.0,2,81.718832
-10.0,12,81.842375
-10.0,2,81.-5,20,81-5,20,82.068502
-10.0,8,8-5,20,82.1-5,20,82.339705
-10.0,7,82.406698
-10.0,6,82.-5,20,82-5,20,82.-5,20,82.758798
-10.0,3,82.784337
-5,20,82.992156
-10.0,12,83.101718
