#{"t_start": 1669216680.5227418, "env_id": null}
r,l,t
-10.0,14,36.45638
-5,20,36.584997
-10.0,14,36.666986
-10.0,7,36.707976
-5,20,36.830561
-10.0,10,36.890327
3.0,18,37.00129
-5,20,37.123423
-10.0,6,37.15863
-10.0,2,37.170419
-10.0,1,37.176218
-10.0,5,37.205743
-10.0,9,37.259328
-10.0,1,37.265247
-10.0,3,37.283026
-10.0,2,37.294754
-5,20,37.4169
-10.0,10,37.47503
-10.0,6,37.510105
-10.0,4,37.533529
-10.0,3,37.551175
-10.0,4,37.574608
-10.0,6,37.609664
-10.0,4,37.632962
-5,20,37.756209
-5,20,37.879112
-10.0,2,37.890896
-10.0,11,37.9553
-5,20,38.077863
-10.0,3,38.095613
-10.0,2,38.107257
-10.0,8,38.15445
18.0,3,38.177718
-10.0,1,38.183634
-10.0,6,38.218868
-10.0,1,38.224821
13.0,8,38.277435
-10.0,8,38.324029
-5,20,38.446386
5.0,16,38.545539
-10.0,7,38.586334
-10.0,1,38.592164
19.0,2,38.609499
-10.0,5,38.638923
-10.0,3,38.656552
4.0,17,38.761478
-5,20,38.883882
-5,20,39.006386
-10.0,20,39.122994
-10.0,5,39.152426
-10.0,10,39.210673
-10.0,9,39.262992
-5,20,39.384638
-10.0,2,39.396413
-10.0,8,39.44295
-10.0,11,39.507453
-10.0,5,39.536858
-10.0,7,39.577382
-5,20,39.700098
-10.0,1,39.705979
-10.0,12,39.776152
-10.0,18,39.88083
-10.0,9,39.933344
-10.0,16,40.026929
-10.0,17,40.126542
-10.0,4,40.150042
11.0,10,40.214181
-10.0,3,40.231636
-10.0,10,40.289979
19.0,2,40.307328
-10.0,3,40.324887
-5,20,40.44728
-10.0,10,40.505409
-10.0,1,40.511265
-10.0,1,40.517123
-10.0,2,40.528978
-10.0,19,40.639519
20.0,1,40.651025
-10.0,12,40.721361
-10.0,1,40.72727
-10.0,1,40.733104
-10.0,1,40.738966
-10.0,3,40.756468
-10.0,13,40.832441
-10.0,5,40.861494
-10.0,1,40.867402
-5,20,40.990314
-10.0,7,41.03119
-10.0,9,41.083529
-10.0,1,41.08937
-10.0,15,41.176405
-10.0,1,41.182198
-10.0,1,41.188137
-5,20,41.310093
-10.0,1,41.316013
-5,20,41.437721
-5,20,41.559921
-10.0,12,41.630304
-10.0,4,41.653563
-5,20,41.775733
-10.0,4,41.798975
-5,20,41.921793
-10.0,6,41.956786
-5,20,42.07882
-10.0,4,42.102407
-10.0,2,42.114872
-10.0,1,42.120807
-10.0,1,42.12675
19.0,2,42.144181
-10.0,1,42.150078
-10.0,9,42.202591
-10.0,8,42.248956
-5,20,42.371632
-10.0,10,42.429651
-10.0,2,42.441266
-5,20,42.563712
-10.0,11,42.62803
-10.0,1,42.63391
-10.0,19,42.744587
-10.0,4,42.768088
-5,20,42.890007
-10.0,9,42.942683
-10.0,1,42.948549
-10.0,18,43.054285
-10.0,13,43.129801
18.0,3,43.152981
19.0,2,43.170365
-10.0,1,43.176273
-10.0,5,43.205894
-10.0,19,43.316246
