#{"t_start": 1669114487.7611988, "env_id": null}
r,l,t-5-10.0,4,154.580951
-5,20,9.453425
-10.0,1,9.459319
-10.0,1,9.465187
-5,20,9.587485
-5,20,9.710297
11.0,10,9.774669
-10.0,7,9.815911
-10.0,5,9.845417
-5,20,9.967469
-10.0,1,9.973425
-5,20,10.096345
-10.0,3,10.113848
-5,20,10.236904
-10.0,14,10.318308
-5,20,10.440622
-5,20,10.563077
-5,20,10.687134
-10.0,18,10.791792
-10.0,7,10.832297
-5,20,10.955093
-5,20,11.078027
-10.0,1,11.08395
-5,20,11.206312
-5,20,11.331893
-10.0,1,11.337881
-10.0,4,11.361495
-10.0,4,11.385219
-10.0,8,11.431569
-5,20,11.554506
-10.0,3,11.571929
-10.0,1,11.577736
-5,20,11.702497
-5,20,11.826832
-10.0,9,11.88027
-5,20,12.004407
-10.0,8,12.051919
-10.0,17,12.155237
-10.0,11,12.22039
-10.0,12,12.302456
-5,20,12.426517
-5,20,12.551155
-5,20,12.674256
-5,20,12.798687
-10.0,4,12.822399
-5,20,12.949048
-5,20,13.073205
-10.0,1,13.079201
16.0,5,13.114696
-10.0,6,13.150473
-10.0,6,13.186073
-10.0,7,13.227181
-10.0,2,13.239114
-10.0,3,13.256703
-5,20,13.380936
-10.0,1,13.386941
-10.0,7,13.428334
-10.0,4,13.451709
-10.0,4,13.475307
-5,20,13.600256
-5,20,13.724206
-10.0,3,13.742124
-10.0,10,13.801323
18.0,3,13.824845
-10.0,9,13.878262
-10.0,8,13.925911
-10.0,19,14.03869
-10.0,20,14.15713
-5,20,14.28015
-10.0,1,14.286043
-10.0,13,14.362409
-10.0,18,14.468355
-10.0,9,14.521276
-5,20,14.644241
-5,20,14.767884
-5,20,14.891076
-5,20,15.013236
-10.0,2,15.025181
20.0,1,15.036788
-5,20,15.160016
14.0,7,15.207027
-5,20,15.330353
-5,20,15.453652
-10.0,4,15.477124
-10.0,11,15.541628
17.0,4,15.570898
-5,20,15.696338
-5,20,15.819496
-10.0,3,15.837169
-10.0,2,15.848971
-10.0,20,15.965821
-5,20,16.095508
-10.0,12,16.166992
-10.0,3,16.184451
-5,20,16.307703
-10.0,9,16.36059
-10.0,12,16.43055
2.0,19,16.549242
-10.0,1,16.555164
-10.0,3,16.572714
-5,20,16.695728
-10.0,6,16.731014
-10.0,2,16.742784
-10.0,3,16.760487
-10.0,15,16.848087
-5,20,16.971586
-5,20,17.094789
-5,20,17.218135
-10.0,3,17.23578
-5,20,17.358797
-5,20,17.482111
-10.0,4,17.5055
-10.0,14,17.587537
-10.0,9,17.640422
-10.0,3,17.658127
-10.0,2,17.669818
-10.0,5,17.698973
-10.0,7,17.740111
-5,20,17.866385
14.0,7,17.913419
-5,20,18.036943
14.0,7,18.083934
-10.0,2,18.095662
-10.0,3,18.113399
-10.0,1,18.119255
-10.0,11,18.184046
-10.0,1,18.189953
-10.0,1,18.195869
-10.0,19,18.30781
-5,20,18.430938
-10.0,18,18.536645
-5,20,18.659992
-10.0,16,18.754124
-10.0,5,18.783362
-5,20,18.906797
7.0,14,18.994925
-10.0,4,19.018356
-5,20,19.141661
-5,20,19.265085
-10.0,1,19.271012
-10.0,5,19.300315
-10.0,10,19.359091
-5,20,19.482095
-10.0,4,19.505631
-5,20,19.628715
-10.0,12,19.699412
-5,20,19.822677
-5,20,19.945832
-10.0,12,20.016345
-10.0,7,20.057581
-10.0,9,20.111069
-10.0,7,20.151999
15.0,6,20.193165
-5,20,20.315248
-5,20,20.437435
-10.0,8,20.484145
-5,20,20.607608
-10.0,1,20.613581
-10.0,19,20.725564
-10.0,13,20.801757
-5,20,20.925243
-10.0,5,20.954373
-10.0,5,20.983477
-10.0,11,21.048288
-5,20,21.171016
-10.0,16,21.265321
-5,20,21.387743
-10.0,14,21.470291
-5,20,21.592803
-10.0,1,21.598685
-5,20,21.721987
-10.0,5,21.751395
-5,20,21.873586
-10.0,8,21.920513
-5,20,22.043995
-10.0,1,22.049937
-5,20,22.17335
-10.0,8,22.220195
-10.0,1,22.22616
4.0,17,22.331799
-10.0,7,22.37305
-10.0,2,22.384805
-10.0,5,22.414368
-10.0,15,22.502903
-5,20,22.626129
-5,20,22.750114
-10.0,16,22.844445
-10.0,8,22.89107
-10.0,16,22.987284
17.0,4,23.016631
-5,20,23.140211
-5,20,23.263358
-10.0,7,23.304421
-10.0,2,23.316214
-10.0,18,23.421338
-10.0,20,23.541634
-10.0,12,23.61198
-10.0,1,23.619026
-10.0,4,23.64275
-10.0,11,23.707028
-10.0,6,23.7424
-10.0,3,23.760194
-10.0,11,23.825175
16.0,5,23.860401
-5,20,23.983781
-10.0,14,24.066321
-10.0,1,24.072325
-10.0,9,24.133757
14.0,7,24.180723
-10.0,1,24.186702
12.0,9,24.245233
-5,20,24.368406
-5,20,24.492117
-10.0,7,24.533453
-10.0,17,24.63367
-5,20,24.757094
-5,20,24.880686
-10.0,3,24.898417
-10.0,2,24.910256
-10.0,4,24.933815
-5,20,25.061294
-5,20,25.18497
-5,20,25.308227
-10.0,15,25.396541
-10.0,2,25.408262
-5,20,25.531858
-10.0,7,25.573203
-10.0,14,25.655527
-5,20,25.778955
-10.0,5,25.808556
-5,20,25.931993
-10.0,16,26.026224
-5,20,26.14915
-5,20,26.272672
-5,20,26.396297
-10.0,5,26.425747
-5,20,26.549633
-5,20,26.673603
-10.0,18,26.779994
-10.0,3,26.797813
-10.0,16,26.891968
-5,20,27.01511
-5,20,27.13826
3.0,18,27.249738
-10.0,3,27.26739
-10.0,7,27.308919
-10.0,17,27.40949
5.0,16,27.50939
-5,20,27.632237
-5,20,27.75595
-10.0,3,27.773714
-5,20,27.897017
-5,20,28.02079
-5,20,28.144033
-10.0,7,28.18558
-10.0,10,28.24454
-5,20,28.367849
-10.0,7,28.409168
-5,20,28.53249
-10.0,1,28.538456
-5,20,28.661627
-5,20,28.785182
9.0,12,28.861754
-10.0,16,28.955857
-10.0,18,29.061949
-5,20,29.185626
-10.0,1,29.191685
-10.0,14,29.274014
-10.0,2,29.285795
-10.0,11,29.350099
6.0,15,29.443951
-5,20,29.567572
-5,20,29.691145
-5,20,29.814773
-10.0,5,29.844314
-10.0,19,29.956478
-5,20,30.079997
20.0,1,30.091595
7.0,14,30.179775
-10.0,1,30.185771
-5,20,30.309486
-10.0,9,30.362319
8.0,13,30.444727
-5,20,30.568754
-10.0,2,30.580521
-10.0,1,30.58644
-10.0,20,30.704175
-10.0,2,30.715985
-5,20,30.839652
-10.0,1,30.845631
-10.0,2,30.857435
-10.0,11,30.922193
-10.0,19,31.034296
-5,20,31.158108
-5,20,31.281604
-5,20,31.405524
-10.0,3,31.423229
-5,20,31.545972
-5,20,31.667286
-10.0,18,31.771564
-5,20,31.894199
-5,20,32.017996
